globalid,name,address,latitude,longitude,restroom_open_status,advertised_hours,ada_accessible,gender_neutral,baby_changing,showers,menstrual_products,category,operated_by,restroom_assessed,restroom_assessment_date,public_buildings,outdoor_facilities,government_facilities,commercial,transportation_mts,other,notes,timestamp,place_id,action,researcher_name,audit_datetime,restroom_name,open_when_visited,access_method,findability,showers_available,water_refill_nearby,visible_signage,security_cameras,access_barriers,overall_impressions,outside_context,approved
e729c27f-94bf-4631-9780-3c5003866d8f,Pacific Beach Law Street,"4861 Ocean Blvd, San Diego, CA 92109",32.802045,-117.259276,1,24/7,1,1,0,0,0,2,City of San Diego,1,6/22/22 17:12,,2,,,,,,,,,,,,,,,,,,,,,,
ec72bb33-4f3b-4ba4-a21a-4f3406709a4e,National City Public Library,"1401 National City Blvd, National City, CA 91950",32.6704966,-117.1045358,1,"Sun Closed, Mon - Thurs 10:00am - 8:00pm, Fri 10:00am - 6:00pm, Sat 10:00am - 5:00pm",1,0,0,1,0,1,City of National City,1,7/23/22 18:28,1,,,,,,,,,,,,,,,,,,,,,,,
554ec5e9-e167-43ec-88dd-18411a3d173c,Coronado Ferry Landing near Cold Stone,"1201 1st St # 101, Coronado, CA 92118",32.69811232,-117.1695199,1,"10:00am - 9:00pm, daily",1,0,1,1,1,,City of Coronado,1,,,,,,,,,,,,,,,,,,,,,,,,,
6589f4aa-f543-4370-81e9-771c4204f61b,Coronado Municipal Golf Course,"2000 Visalia Row, Coronado, CA 92118",32.68471106,-117.166032,1,"5:30am - 5:00pm, daily",1,0,1,1,1,,City of Coronado,1,,,,,,,,,,,,,,,,,,,,,,,,,
c1020ca4-64e8-4cd2-a921-91b2cbaacea1,Coronado Tidelands Park,"2000 Mullinex Dr, Coronado, CA 92118",32.69148767,-117.1650511,1,"6:00am - 10:30pm, daily",1,0,0,1,0,,City of Coronado,1,,,,,,,,,,,,,,,,,,,,,,,,,
59f84f11-c11d-4b19-ab01-88814f373ce8,Torrey Pines State Reserve,"12600 N Torrey Pines Rd, La Jolla, CA 92037",32.92700153,-117.2592838,1,"7:15am to Sunset, daily",1,1,0,1,0,2,City of San Diego & CA State,3,50:21.9,,2,,,,,,,,,,,,,,,,,,,,,,
6e1f6ce1-148e-41f6-bbbb-e68e264b85ce,San Elijo Lagoon Nature Center,"2710 Manchester Ave, Cardiff, CA 92007",33.01335689,-117.2742534,1,"9:00am - 5:00pm, daily",1,1,1,1,0,,San Diego County,1,,,,,,,,,,,,,,,,,,,,,,,,,
365e9ae9-702b-43be-8d34-273439eb9172,Mast Park Dog Park,"9125 Carlton Hills Blvd, Santee, CA 92071",32.8458428,-116.9925787,1,"Dawn to 10:00pm, daily",1,1,1,1,0,2,City of Santee,1,10/23/22 15:44,,1,,,,,,,,,,,,,,,,,,,,,,
1772f79d-30e1-442c-9574-754f6a0dee04,La Mesa Branch Library,"8074 Allison Ave, La Mesa, CA 91942",32.76620773,-117.0233086,1,"Mon & Thurs 10:00am - 6:00pm, Tues - Wed 12:00pm - 7:00pm, Fri - Sun 10:00am - 5:00pm",1,0,1,1,0,1,San Diego County,1,6/22/22 16:44,1,,,,,,,,,,,,,,,,,,,,,,,
a84fb165-8727-41c4-85ba-e145ec2dbd1f,Santee Public Library,"9225 Carlton Hills Blvd, Unit 17, Santee, CA 92071",32.84458665,-116.9968569,1,"Mon, Wed, Thurs 10:00am - 6:00pm, Tues 12:00pm - 7:00pm, Fri - Sat 10:00am - 5:00pm, Sun closed",1,1,1,1,2,1,San Diego County,1,6/26/24 21:53,1,,,,,,,,,,,,,,,,,,,,,,,
